model,accuracy,precision,recall,f1
Logistic regression,0.7985074626865671,0.7578947368421053,0.6990291262135923,0.7272727272727273
Decision Tree,0.7574626865671642,0.6862745098039216,0.6796116504854369,0.6829268292682927
Random Forest,0.8171641791044776,0.7934782608695652,0.7087378640776699,0.7487179487179487
